% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 85.83    0.066727          16      4074           read
  0.54    0.000422           5        73           close
  0.18    0.000141           2        51           write
  0.39    0.000306           6        45         9 openat
  0.17    0.000129           3        39           statx
 10.31    0.008012         216        37         2 bpf
  0.09    0.000071           2        27           brk
  0.17    0.000129           7        18           mmap
  0.05    0.000042           5         8         6 lseek
  0.03    0.000026           3         8         7 newfstatat
  0.05    0.000036           6         6           mremap
  0.04    0.000031           6         5           mprotect
  1.73    0.001344         268         5           munmap
  0.02    0.000013           2         5           rt_sigaction
  0.02    0.000013           3         4           fstat
  0.01    0.000009           3         3           sigaltstack
  0.01    0.000005           2         2           rt_sigprocmask
  0.01    0.000006           3         2           pread64
  0.30    0.000230         115         2           perf_event_open
  0.01    0.000005           2         2           prlimit64
  0.01    0.000007           3         2           getrandom
  0.01    0.000005           5         1           poll
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000003           3         1           uname
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           gettid
  0.00    0.000003           3         1           sched_getaffinity
  0.02    0.000017          17         1           getdents64
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000002           2         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.077746          17      4429        25 total
