% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 19.39    7.429221           7   1059433           read
  7.33    2.808259           5    530559     35597 openat
  4.60    1.761965           3    495126           close
  1.74    0.666911           2    231781           fcntl
  1.87    0.714578           3    228821           fstat
  1.72    0.660881           4    165067           getdents64
  0.45    0.173037           5     28859        90 newfstatat
  0.10    0.039165           3     12404           capget
  0.15    0.058665           5     11266        19 readlinkat
  0.00    0.001554           1      1324           write
  0.01    0.002268           3       594       344 faccessat2
  0.01    0.002050           4       425           poll
  0.00    0.001594           3       405           rt_sigprocmask
  0.00    0.001141           4       230       178 readlink
  0.00    0.001285           6       194           brk
  0.17    0.063559         373       170           lseek
  0.00    0.001014           6       159           socket
  0.00    0.001435           9       159           connect
  0.00    0.000750           4       159           sendto
  0.00    0.000466           6        70           mmap
  0.00    0.000128           2        63           rt_sigaction
  0.00    0.000088           2        36         6 ioctl
  0.00    0.000145           7        19           mprotect
  0.00    0.000048           4        12         4 access
  0.00    0.000029           2        11         4 prctl
  0.00    0.000013           2         6           pread64
  0.00    0.000007           1         5           getuid
  0.00    0.000004           1         4           getgid
  0.00    0.000006           1         4           geteuid
  0.00    0.000006           1         4           getegid
  0.00    0.000009           2         4           set_robust_list
  0.00    0.000010           2         4           prlimit64
  0.00    0.000010           3         3           dup2
  0.00    0.000004           1         3           getpid
  0.00    0.000521         173         3           execve
  0.00    0.000004           1         3           getppid
  0.00    0.000006           2         3           arch_prctl
  0.00    0.000010           3         3           set_tid_address
  0.00    0.000011           3         3           getrandom
  0.00    0.000010           3         3           rseq
  0.00    0.000000           0         2           munmap
  0.00    0.000007           3         2           dup
 62.44   23.921389    11960694         2         1 wait4
  0.00    0.000010           5         2         2 mkdir
  0.00    0.000010           5         2           statfs
  0.00    0.000004           2         2           futex
  0.00    0.000005           5         1           recvmsg
  0.00    0.000068          68         1           clone
  0.00    0.000004           4         1           uname
  0.00    0.000000           0         1           getpgrp
  0.00    0.000040          40         1           setsid
  0.00    0.000003           3         1           getresuid
  0.00    0.000004           4         1           getresgid
  0.00    0.000006           6         1           capset
  0.00    0.000014          14         1           clock_nanosleep
  0.00    0.000006           6         1           signalfd4
------ ----------- ----------- --------- --------- ----------------
100.00   38.312437          13   2767423     36245 total
